mode_choice,car_travel_time_mins,car_travel_cost,car_distance_km,transit_travel_time_mins,transit_travel_cost,transit_transfers,transit_available,bike_travel_time_mins,bike_travel_cost,walk_travel_time_mins,walk_travel_cost,income_over_100k,home_county,rush_hour
Car,22.195,13.382027255999999,21.325599999999998,0,0,0,false,91.94166666666666,6.149474107000001,269.6016666666667,3.6146185,true,Snohomish,false
Car,21.69,13.205696946000002,21.0446,0,0,0,false,92.38833333333334,6.17767505,269.6016666666667,3.6146185,true,Snohomish,false
Car,12.556666666666667,5.789156256,9.2256,0,0,0,false,38.306666666666665,2.523478368,108.96833333333333,1.4584297800000003,true,Snohomish,true
Car,19.353333333333335,10.293360285,16.4035,72,4,3,true,55.99,3.7514913030000003,164.72,2.2064377900000003,true,Snohomish,true
Car,4.6033333333333335,1.497364362,2.3861999999999997,15,2.75,0,true,9.520000000000001,0.5930950990000001,25.928333333333335,0.34625680000000003,true,Snohomish,false
Car,4.551666666666667,1.497364362,2.3861999999999997,15,2.75,0,true,9.388333333333332,0.5886365600000001,25.928333333333335,0.34625680000000003,true,Snohomish,false
Car,18.798333333333336,9.173129433,14.6183,0,0,0,false,61.833333333333336,4.124914459,265.14500000000004,3.54934137,true,Snohomish,false
Car,13.985400000000002,5.061746664,8.0664,54,2.75,0,true,32.403333333333336,2.1135663100000004,86.94666666666667,1.14644468,true,King,true
Car,12.696666666666665,4.147527344999999,6.6095,32,2.75,0,true,15.058333333333334,0.990069188,45.995,0.61481499,false,Snohomish,true
Car,18.336666666666666,7.84324749,12.499,0,0,0,false,50.61333333333334,3.40462791,149.23999999999998,2.0011133,false,Kitsap,false
Car,11.131666666666666,4.796184432,7.6432,35,2.75,0,true,28.918333333333333,1.629609681,56.96,0.75830561,true,King,false
Car,10.336666666666668,3.7511292780000005,5.9778,40,2.75,0,true,24.491666666666667,1.4888237899999999,56.598333333333336,0.75336598,true,King,false
Car,15.441666666666666,7.800514059,12.4309,74,4,1,true,47.575,3.1031978500000004,121.77666666666667,1.626699,true,King,false
Car,38.86,21.094564413000004,33.6163,0,0,0,false,135.835,9.164732062,401.9166666666667,5.3820567299999995,true,King,false
Car,5.0,1.25502,2.0,34,2.75,0,true,5.0,0.54706,5.0,0.32180000000000003,true,King,false
Car,16.39,7.779555225000001,12.3975,54,4,1,true,49.190000000000005,3.149096184,138.16833333333335,1.8310420000000003,true,King,false
Car,5.1,1.5553462859999998,2.4785999999999997,26,2.75,0,true,10.588333333333333,0.6778893990000001,29.793333333333333,0.3995629700000001,true,King,false
Car,14.405,6.698606498999999,10.6749,54,4,1,true,41.315000000000005,2.7104087700000004,117.205,1.5694186,true,King,false
Car,7.663333333333333,3.1233055230000004,4.9773000000000005,89,4,1,true,22.061666666666667,1.377880022,58.836666666666666,0.7875089599999999,true,King,false
Car,41.19166666666667,26.074358270999998,41.552099999999996,152,4,3,true,159.88333333333333,10.593625429000001,462.77666666666664,6.17722453,false,King,false
Car,9.446666666666665,3.6296433420000005,5.7842,30,4,1,true,24.706666666666667,1.5105147190000003,66.455,0.88943911,false,King,false
Car,31.395,21.579880647,34.3897,88,4,1,true,136.64833333333334,8.863712297000001,387.3,5.1706824000000005,false,King,false
Car,11.825,4.625376210000001,7.371,45,2.75,0,true,25.17,1.6426023559999998,69.05166666666668,0.92284195,false,King,false
Car,13.988333333333333,4.761357627,7.5877,66,2.75,0,true,31.16166666666667,2.050326174,89.91000000000001,1.20411124,false,King,false
Car,41.19166666666667,26.074358270999998,41.552099999999996,152,4,3,true,159.88333333333333,10.593625429000001,462.77666666666664,6.17722453,false,King,false
Car,9.446666666666665,3.6296433420000005,5.7842,30,4,1,true,24.706666666666667,1.5105147190000003,66.455,0.88943911,false,King,false
Car,31.395,21.579880647,34.3897,88,4,1,true,136.64833333333334,8.863712297000001,387.3,5.1706824000000005,false,King,false
Car,11.825,4.625376210000001,7.371,45,2.75,0,true,25.17,1.6426023559999998,69.05166666666668,0.92284195,false,King,false
Car,13.988333333333333,4.761357627,7.5877,66,2.75,0,true,31.16166666666667,2.050326174,89.91000000000001,1.20411124,false,King,false
Car,38.06,19.007654406,30.290599999999998,70,4,1,true,118.73666666666666,7.792486758,334.275,4.471925880000001,true,King,true
Car,27.191666666666666,18.051956676,28.767599999999998,59,4,1,true,112.10333333333332,7.366792018999999,318.27666666666664,4.25593372,true,King,false
Car,3.308333333333333,1.126756956,1.7955999999999999,24,2.75,0,true,8.523333333333333,0.481385447,20.811666666666667,0.27896842,true,King,false
Car,14.645400000000002,3.5038903379999997,5.5838,33,4,1,true,24.966666666666665,1.599029027,69.84833333333333,0.9348289999999999,true,King,true
Car,10.901666666666667,3.46636524,5.524,33,2.75,0,true,24.683333333333334,1.5995760869999998,69.84833333333333,0.9348289999999999,true,King,false
Car,19.86,6.422313846000001,10.2346,68,4,2,true,45.861666666666665,2.869931466,123.67,1.6536980199999998,true,King,false
Car,12.045,3.710592132,5.9132,42,4,1,true,25.498333333333335,1.513140607,62.50666666666667,0.83593986,true,King,false
Car,10.389999999999999,3.307918965,5.2715,34,2.75,0,true,22.81833333333333,1.457231075,62.41,0.83449176,true,King,false
Walk,1.995,10.461972862,0.7362000000000001,13,2.75,0,true,4.1,0.219070177,8.646666666666667,0.11586409,true,King,false
Walk,2.9266666666666667,0.671937708,1.0708,7,2.75,0,true,4.891666666666667,0.29295063,12.585,0.16886455000000003,true,King,false
Walk,2.756666666666667,10.703375959,1.1209,11,2.75,0,true,4.663333333333333,0.28537384899999996,12.585,0.16886455000000003,true,King,false
