"HOUSEID","PERSONID","TDTRPNUM","STRTTIME","ENDTIME","TRVLCMIN","TRPMILES","TRPTRANS","TRPACCMP","TRPHHACC","VEHID","TRWAITTM","NUMTRANS","TRACCTM","DROP_PRK","TREGRTM","WHODROVE","WHYFROM","LOOP_TRIP","TRPHHVEH","HHMEMDRV","HH_ONTD","NONHHCNT","NUMONTRP","PSGR_FLG","PUBTRANS","TRIPPURP","DWELTIME","TDWKND","VMT_MILE","DRVR_FLG","WHYTRP1S","ONTD_P1","ONTD_P2","ONTD_P3","ONTD_P4","ONTD_P5","ONTD_P6","ONTD_P7","ONTD_P8","ONTD_P9","ONTD_P10","ONTD_P11","ONTD_P12","ONTD_P13","TDCASEID","TRACC_WLK","TRACC_POV","TRACC_BUS","TRACC_CRL","TRACC_SUB","TRACC_OTH","TREGR_WLK","TREGR_POV","TREGR_BUS","TREGR_CRL","TREGR_SUB","TREGR_OTH","WHYTO","TRAVDAY","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","DRVRCNT","HHSTATE","HHSTFIPS","NUMADLT","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","GASPRICE","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","SMPLSRCE","R_AGE","EDUC","R_SEX","PRMACT","PROXY","WORKER","DRIVER","WTTRDFIN","WHYTRP90","TRPMILAD","R_AGE_IMP","R_SEX_IMP","VEHTYPE","OBHUR","DBHUR","OTHTNRNT","OTPPOPDN","OTRESDN","OTEEMPDN","OBHTNRNT","OBPPOPDN","OBRESDN","DTHTNRNT","DTPPOPDN","DTRESDN","DTEEMPDN","DBHTNRNT","DBPPOPDN","DBRESDN"
"30003877","01","04","1510","1525",15,6.385,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","03","02","01","01",1,0,1,"02","02","NHB",20,"02",6.385,"01","10","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300038770104","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","03","04","02",1,1,"04",1,"IA","19",1,1,"201610","01","01","03","01","02","01","01","01","224.7","04","02","43","01","02","XXXXX","02",45,"04","02","01","01","01","01",24366.5148959367,"11",7.1199135,45,"02","01","S","C","30","1500","750","750","30","3000","1500","20","750","300","350","30","3000","1500"
"30003877","01","05","1545","1600",15,6.792,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","03","02","01","01",1,0,1,"02","02","NHB",240,"02",6.792,"01","10","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300038770105","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","03","04","02",1,1,"04",1,"IA","19",1,1,"201610","01","01","03","01","02","01","01","01","224.7","04","02","43","01","02","XXXXX","02",45,"04","02","01","01","01","01",24366.5148959367,"11",7.5737592,45,"02","01","C","S","20","750","300","350","30","3000","1500","30","1500","750","750","30","3000","1500"
"30003877","01","06","2000","2005",5,1.078,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","03","02","01","01",1,0,1,"02","02","NHB",5,"02",1.078,"01","40","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300038770106","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","04","02",1,1,"04",1,"IA","19",1,1,"201610","01","01","03","01","02","01","01","01","224.7","04","02","43","01","02","XXXXX","02",45,"04","02","01","01","01","01",24366.5148959367,"03",1.2020778,45,"02","01","S","C","30","1500","750","750","30","3000","1500","20","3000","1500","1500","40","3000","1500"
"30003877","01","07","2010","2025",15,4.698,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","11","02","01","01",1,0,1,"02","02","HBSHOP",-9,"02",4.698,"01","01","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300038770107","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","04","02",1,1,"04",1,"IA","19",1,1,"201610","01","01","03","01","02","01","01","01","224.7","04","02","43","01","02","XXXXX","02",45,"04","02","01","01","01","01",24366.5148959367,"01",5.043303,45,"02","01","C","C","20","3000","1500","1500","40","3000","1500","40","7000","3000","3000","60","7000","3000"
"30003879","01","01","0700","0715",15,2.098,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","01","02","01","01",1,0,1,"02","02","HBW",555,"02",2.098,"01","10","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300038790101","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","03","03","02",1,1,"09",1,"CA","06",1,1,"201610","01","01","01","05","01","01","05","01","274.0","09","04","91","01","02","31080","01",50,"04","02","01","01","01","01",461160.832947123,"01",2.252203,50,"02","01","U","U","80","30000","17000","5000","80","30000","17000","50","7000","7000","5000","50","7000","7000"
"30003879","01","02","1630","1645",15,2.393,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","03","02","01","01",1,0,1,"02","02","HBW",-9,"02",2.393,"01","01","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300038790102","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","03","02",1,1,"09",1,"CA","06",1,1,"201610","01","01","01","05","01","01","05","01","274.0","09","04","91","01","02","31080","01",50,"04","02","01","01","01","01",461160.832947123,"01",2.5688855,50,"02","01","U","U","50","7000","7000","5000","50","7000","7000","80","30000","17000","5000","80","30000","17000"
"30003901","01","01","0630","0645",15,5.628,"03",1,0,"01",-1,-1,-1,"-1",-1,"01","01","02","01","01",1,1,2,"02","02","HBO",75,"02",5.628,"01","97","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010101","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",53,"05","02","01","01","01","01",1101012.10104007,"04",6.2757828,53,"02","01","S","C","20","1500","750","750","40","1500","750","60","17000","3000","5000","60","17000","7000"
"30003901","01","02","0800","0815",15,2.124,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","05","02","01","01",1,0,1,"02","02","NHB",495,"02",2.124,"01","10","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010102","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","03","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",53,"05","02","01","01","01","01",1101012.10104007,"01",2.280114,53,"02","01","C","C","60","17000","3000","5000","60","17000","7000","80","1500","1500","750","80","1500","1500"
"30003901","01","03","1630","1715",45,6.384,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","03","02","01","01",1,0,1,"02","02","NHB",15,"02",6.384,"01","70","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010103","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","06","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",53,"05","02","01","01","01","01",1101012.10104007,"04",7.1187984,53,"02","01","C","S","80","1500","1500","750","80","1500","1500","20","1500","750","750","40","1500","750"
"30003901","01","04","1730","1800",30,13.55,"03",1,1,"01",-1,-1,-1,"-1",-1,"01","06","02","01","01",2,0,2,"02","02","NHB",90,"02",13.55,"01","80","01","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010104","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",53,"05","02","01","01","01","01",1101012.10104007,"10",15.109605,53,"02","01","S","S","20","1500","750","750","40","1500","750","20","3000","1500","1500","40","3000","1500"
